AAPL	SPY	TSLA	HOG	HSY	HLT
-0.01854311030491873	0.05218691320055302	0.07790064669600238	0.11771959261812381	-0.022081019808660174	0.07076942302187894
-0.05128638960511955	0.03270192288872398	-0.12923524353897475	0.2117349482648312	0.03501495133734145	0.043999536779873116
-0.006706270105982015	-0.04031962466094863	0.042607689739043275	-0.21376308596321014	-0.002982094186282591	-0.0751489882206755
0.13022225304955803	0.050579526802066566	-0.02837187354253501	0.04332648195422695	0.02701272198189919	0.017575208214855476
0.09555252790807311	0.03528028905512648	0.11118599982126098	-0.060572515381922876	-0.07076774381211948	0.08773656137780561
0.054411015900498905	0.01210917131402578	0.17278149180183244	0.118068103005178	0.07425327264053205	-0.016177708245841416
0.0323534392377669	0.02336566124174788	-0.07739046902676983	-0.0016002880645304973	-0.01552384218253422	0.023863400229398257
0.017467185704938215	0.021004548991797156	0.22194201175563166	0.03385262556352786	-0.00663000419420523	0.049444573724965135
-0.030429194218736244	-0.008923666609180536	-0.045025412068364634	-0.17077602490335275	-0.07404312987754214	0.018871955500422644
0.051706921591011756	0.0596335283449696	0.3814688622385134	0.052582253858107775	-0.00015100999564499062	0.07980477590357804
0.05515521876975882	-0.024060184703887377	0.17000808915631316	-0.09943007370094514	-0.03849439621773776	-0.024779035013453687
-0.05758324966658268	0.026856516270723496	0.0018819576379678349	-0.10189179994302688	-0.11868908982489734	0.03604956153396688
0.025872484771082283	-0.012694837033450312	-0.2758773935575025	-0.041503682451238144	0.16712912803392266	0.03529695349828632
-0.08150013035594195	-0.05571919586383445	-0.11543452131892018	-0.019798216248397282	-0.00972729890566193	-0.14119117630431077
-0.04335299480241872	-0.008670229175496758	0.08874826236685496	-0.11207914414024067	-0.02245219947725241	-0.009096933829440546
-0.05358405947543121	0.06284501787581465	0.2278848417863253	0.07983938958168446	-0.030765922434695003	0.10249770246460788
0.021508534553317693	0.051386182837998895	-0.08312644606383923	-0.017894323677669743	0.032733827690459405	0.07204957792481292
0.01169769554123401	0.023031505020404186	-0.02955995259140498	0.030932220508518515	0.12160295723955361	0.006532999775973991
0.11963886127221102	0.020519492148202145	0.08304410748975077	0.19687628448786576	-0.005226438344384854	0.030326527625920585
0.09688124576734491	0.03562036952182912	0.33201547825406585	-0.03629629068804752	0.017959233403759045	-0.060204185470312366
0.061815142948609125	0.023837458474752493	0.026623485126352042	-0.032974916520027375	-0.09313015791803103	-0.009559105825382774
0.032364264712395396	0.0019499283249213573	-0.05780178787448975	-0.09229059095459025	0.11730798812859056	0.10986862361319338
-0.025067314322949175	0.000797497311368911	0.045447119005781245	-0.156587664106699	-0.032433039366912775	0.007788658141987703
