AAPL	SPY	TSLA	HOG	HSY	HLT
182.67483520507812	471.2306213378906	187.2899932861328	30.939563751220703	182.06253051757812	189.99578857421875
179.2874755859375	495.82269287109375	201.8800048828125	34.581756591796875	178.0424041748047	203.44168090820312
170.09246826171875	512.0370483398438	175.7899932861328	41.90392303466797	184.27655029296875	212.3930206298828
168.9517822265625	491.39190673828125	183.27999877929688	32.9464111328125	183.72702026367188	196.43190002441406
190.95306396484375	516.2462768554688	178.0800018310547	34.373863220214844	188.6899871826172	199.8842315673828
209.19911193847656	534.4595947265625	197.8800048828125	32.291751861572266	175.33682250976562	217.42138671875
220.58184814453125	540.9314575195312	232.07000732421875	36.10437774658203	188.3561553955078	213.9040069580078
227.7184295654297	553.5706787109375	214.11000061035156	36.046600341796875	185.43214416503906	219.00848388671875
231.69602966308594	565.1981811523438	261.6300048828125	37.26687240600586	184.20272827148438	229.83726501464844
224.6457061767578	560.154541015625	249.85000610351562	30.902584075927734	170.56378173828125	234.17474365234375
236.26144409179688	593.5585327148438	345.1600036621094	32.52751159667969	170.53802490234375	252.86300659179688
249.29249572753906	579.2774047851562	403.8399963378906	29.293298721313477	163.9732666015625	246.59730529785156
234.9374237060547	594.8347778320312	404.6000061035156	26.308551788330078	144.5114288330078	255.48703002929688
241.01583862304688	587.283447265625	292.9800109863281	25.216650009155273	168.6634979248047	264.50494384765625
221.37301635742188	554.5604858398438	259.1600036621094	24.717405319213867	167.02285766601562	227.1591796875
211.7758331298828	549.7523193359375	282.1600036621094	21.947099685668945	163.2728271484375	225.0927276611328
200.4280242919922	584.301513671875	346.4599914550781	23.699342727661133	158.2495880126953	248.16421508789062
204.7389373779297	614.3265380859375	317.6600036621094	23.275259017944336	163.42970275878906	266.0443420410156
207.1339111328125	628.4754028320312	308.2699890136719	23.995214462280273	183.30323791503906	267.78240966796875
231.91517639160156	641.3713989257812	333.8699951171875	28.719303131103516	182.34521484375	275.9033203125
254.38340759277344	664.21728515625	444.7200012207031	27.676898956298828	185.6199951171875	259.29278564453125
270.108154296875	680.050537109375	456.55999755859375	26.76425552368164	168.3331756591797	256.8141784667969
278.8500061035156	681.3765869140625	430.1700134277344	24.294166564941406	188.0800018310547	285.0299987792969
271.8599853515625	681.9199829101562	449.7200012207031	20.489999771118164	181.97999572753906	287.25
