index	return	risk	AAPL	SPY	TSLA	HOG	HSY	HLT
0	0.01422659314043416	0.02751251856266551	0.05791903124188405	0.764194036850826	-2.385321180888665e-20	-3.817246777530845e-20	0.17788693190728996	-4.457139979942225e-20
1	0.01458072588002673	0.027562794834058078	0.06983881527067878	0.770208067250202	0.0013803057741675953	-4.8028396406047146e-20	0.15857281170495166	-5.64686065687824e-20
2	0.014934858619619297	0.027690711673242083	0.07506032983615217	0.7687830176944553	0.0074168325780673335	-4.7733431174207883e-20	0.1487398198913251	-5.635211669875855e-20
3	0.015288991359211867	0.0278850381146265	0.08028184440162574	0.7673579681387088	0.013453359381967175	-4.743690192916112e-20	0.13890682807769822	-5.62342644119637e-20
4	0.015643124098804435	0.028144398592171403	0.08550335896709917	0.7659329185829623	0.019489886185866948	-4.714587773768945e-20	0.1290738362640716	-5.611845547824228e-20
5	0.015997256838397006	0.028467015603205886	0.09072487353257262	0.7645078690272159	0.02552641298976676	-4.6850537315838315e-20	0.11924084445044476	-5.60004364841594e-20
6	0.016351389577989574	0.028850767171231594	0.09594638809804613	0.7630828194714693	0.03156293979366653	-4.6554411671974055e-20	0.10940785263681806	-5.588438568876593e-20
7	0.01670552231758214	0.029293250744179322	0.10116790266351962	0.7616577699157229	0.0375994665975663	-4.6261126458198025e-20	0.09957486082319127	-5.576702192227975e-20
8	0.017059655057174713	0.029791849484907956	0.10638941722899312	0.7602327203599762	0.04363599340146613	-4.596548102621146e-20	0.08974186900956449	-5.564986819760237e-20
9	0.01741378779676728	0.030343797324638818	0.11161093179446649	0.7588076708042297	0.04967252020536591	-4.5669768389759226e-20	0.07990887719593784	-5.553102088541881e-20
10	0.017767920536359852	0.030946239839492715	0.11683244635993997	0.7573826212484833	0.055709047009265676	-4.5373752784349154e-20	0.07007588538231103	-5.541555820345629e-20
11	0.01812205327595242	0.03159411812541076	0.12235859391772229	0.7469972321246827	0.06145426379445628	-7.226875916487252e-19	0.06134783808380356	0.007842072079335122
12	0.018476186015544988	0.032276062086658515	0.12808514365272175	0.7307173023448482	0.06700784289272034	-6.988303685167714e-19	0.05334667622500505	0.020843034884704664
13	0.018830318755137555	0.032989059549405265	0.1338116933877212	0.7144373725650137	0.0725614219909844	-6.749575443647128e-19	0.045345514366206534	0.03384399769007411
14	0.019184451494730127	0.033731141375878806	0.1395382431227206	0.6981574427851787	0.07811500108924854	-6.510855998180044e-19	0.03734435250740813	0.04684496049544407
15	0.019538584234322694	0.03450043085988616	0.14526479285771993	0.6818775130053444	0.0836685801875127	-6.272408899996538e-19	0.02934319064860955	0.05984592330081336
16	0.019892716973915266	0.03529514900023787	0.15099134259271949	0.6655975832255094	0.08922215928577679	-6.033521246353666e-19	0.021342028789811087	0.07284688610618327
17	0.020246849713507833	0.036113617082939004	0.15671789232771868	0.6493176534456753	0.09477573838404088	-5.794791774328398e-19	0.013340866931012555	0.08584784891155263
18	0.0206009824531004	0.03695425709049285	0.16244444206271813	0.6330377236658405	0.10032931748230495	-5.556322597452629e-19	0.005339705072214145	0.0988488117169223
19	0.02095511519269297	0.037816127106822826	0.1671466988823692	0.6130052446735182	0.10703482026986559	-3.890530000626408e-19	-1.2837843678885196e-19	0.11281323617424698
20	0.02130924793228554	0.03870465263640351	0.16979390746566722	0.5854439919040104	0.11605143808191848	-3.576728586839059e-19	-1.17983938197716e-19	0.12871066254840396
21	0.021663380671878108	0.039620102324807886	0.17244111604896525	0.5578827391345029	0.1250680558939712	-3.263294228173142e-19	-1.075996189006597e-19	0.1446080889225607
22	0.02201751341147068	0.04056065318668026	0.1750883246322632	0.530321486364995	0.1340846737060241	-2.949683058246133e-19	-9.721071216062605e-20	0.16050551529671775
23	0.022371646151063247	0.041524599598435345	0.17773553321556115	0.502760233595487	0.1431012915180769	-2.636063709514769e-19	-8.682164995407922e-20	0.17640294167087478
24	0.022725778890655815	0.042510350067588416	0.18038274179885908	0.4751989808259797	0.15211790933012975	-2.322381753118694e-19	-7.643083735812138e-20	0.19230036804503142
25	0.023079911630248383	0.043516422878101625	0.18302995038215686	0.4476377280564728	0.16113452714218252	-2.0089393834189216e-19	-6.604719822403732e-20	0.20819779441918787
26	0.023434044369840954	0.04454144096816959	0.18567715896545517	0.4200764752869643	0.17015114495423533	-1.695287152724663e-19	-5.565722264062294e-20	0.22409522079334526
27	0.023788177109433525	0.04558412632830007	0.18832436754875298	0.39251522251745685	0.17916776276628815	-1.3817849508597922e-19	-4.527167259852758e-20	0.23999264716750207
28	0.024142309849026093	0.04664329414702847	0.19097157613205112	0.36495396974794847	0.18818438057834105	-1.0680709399463936e-19	-3.487915547398189e-20	0.2558900735416593
29	0.02449644258861866	0.047717846879719264	0.19361878471534916	0.337392716978441	0.1972009983903938	-7.54493815422199e-20	-2.449170864603234e-20	0.271787499915816
30	0.02485057532821123	0.048806768372478444	0.1962659932986469	0.3098314642089338	0.20621761620244655	-4.407571211334525e-20	-1.4096696324294156e-20	0.28768492628997266
31	0.025204708067803797	0.04990911813758594	0.19891320188194503	0.2822702114394252	0.2152342340144995	-1.2724218998557639e-20	-3.7122023669904375e-21	0.3035823526641302
32	0.025558840807396368	0.05102402584818813	0.20156041046524317	0.25470895866991783	0.22425085182655227	1.8633443564544807e-20	6.675696603076937e-21	0.3194797790382868
33	0.02591297354698894	0.05215068609730792	0.20420761904854115	0.22714770590041017	0.23326746963860504	4.999810823360817e-20	1.7063788611897162e-20	0.33537720541244365
