	AAPL	SPY	TSLA	HOG	HSY	HLT
AAPL	0.0034941650383539242	0.0005706838714913229	0.0025458136919420623	0.0013063709245118545	0.000665854488858249	0.0004220226210354343
SPY	0.0005706838714913229	0.0009830399894733078	0.0017390663814284995	0.001898627479044145	-0.00015373854037117586	0.0012890514524614039
TSLA	0.0025458136919420623	0.0017390663814284995	0.023768284562446885	0.0018703052209063957	-0.0033602686006764526	0.0006462377572987575
HOG	0.0013063709245118545	0.001898627479044145	0.0018703052209063957	0.012296247277169919	0.0018527165265602539	0.001846022834652909
HSY	0.000665854488858249	-0.00015373854037117586	-0.0033602686006764526	0.0018527165265602539	0.004698822434802134	0.00030029390387985007
HLT	0.0004220226210354343	0.0012890514524614039	0.0006462377572987575	0.001846022834652909	0.00030029390387985007	0.0035104514820559927
